Section,Region,District,Chiefdom,Location,Facility,Type,InCharge,Contact,Year,Month,AllOut,Suspected,Tested,Confirmed,Treated,Presumed,ThresholdAllOut,ThresholdSuspected,ThresholdTested,ThresholdConfirmed,ThresholdTreated,ThresholdPresumed,LowerBoundAllOut,UpperBoundAllOut,LowerBoundSuspected,UpperBoundSuspected,LowerBoundTested,UpperBoundTested,LowerBoundConfirmed,UpperBoundConfirmed,LowerBoundTreated,UpperBoundTreated
Region,Northern,Falaba District,Neya Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Nyedu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Sulima Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Dea Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Jahn Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Jawei Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Kissi Kama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Kissi Teng Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Kissi Tongi Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Luawa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Malema Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Mandu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Njaluahun Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Peje Bongre Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Peje West Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Penguia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Upper Bambara Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kailahun District,Yawei Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Bramaia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Dixon Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Gbinleh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Konimaka Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Magbema Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Mambolo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Masumgbala Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Munu Thalla Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Samu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Kambia District,Tonko Limba Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Buya Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Dibia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Gbanti (Karene) Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Gormbahun Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Mafonda Makerembay Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Romende Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Safroko Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Sanda Loko Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Sanda Magbolonthor Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Sanda Tendaren Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Sella Limba Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Tambaka Simibungie Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Karene District,Tambaka Yobangie Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Kenema City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Dama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Dodo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Gaura Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Gorama Mende Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Kandu Leppiama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Koya (Kenema) Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Langroma Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Lower Bambara Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Malegohun Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Niawa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Nomo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Nongowa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Simbaru Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Small Bo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Tunkia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kenema District,Wandor Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Diang Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Gbonkorbor Kayaka Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Kallian Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Kamukeh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Kasunko Kakellay Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Nieni Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Sengbeh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Thamiso Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Wara Wara Bafodia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Koinadugu District,Wara Wara Yagala Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Koidu New Sembehun City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Fiama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Gbane Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Gbane Kandor Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Gbense Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Gorama Kono Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Kamara Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Lei Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Mafindor Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Nimikoro Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Nimiyama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Sandor Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Soa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Tankoro Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Eastern,Kono District,Toli Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Bagruwa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Bumpeh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Dasse Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Fakunya Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Kaiyamba Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Kamajei Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Kargboro Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Kongbora Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Kori Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Kowa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Lower Banta Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Ribbi Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Timdale Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Moyamba District,Upper Banta Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Port Loko City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Bake-Loko Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Bureh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Kaffu Bullom Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Kamasondo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Kasseh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Koya (Port Loko) Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Lokomasama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Maconteh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Maforki Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Makama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Marampa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Masimera Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Port Loko District,Tainkatopa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Barri Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Galliness Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Kabonde Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Kpaka Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Kpanga Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Kpanga Krim Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Makpele Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Malen Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Mano Sakrim Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Peje Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Perri Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Soro Gbeima Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Sowa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Pujehun District,Yakemoh Kpukumu Krim Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Dansogoia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Gbokolenken Masankong Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Gbokolenken Mayeppoh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Gbokolenken Polie Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Gbokolenken Yele Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kafe Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kalantuba Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kholifa Mabang Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kholifa Mamuntha Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kholifa Rowalla Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kunike Barina Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kunike Fulawusu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Kunike Sanda Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Malal Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Sambaya Bendugu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Simiria Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Tane Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Yoni Mabanta Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Tonkolili District,Yoni Mamala Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Rural District,Koya Rural Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Rural District,Mountain Rural Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Rural District,Waterloo Rural Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Rural District,York Rural Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,Central 1 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,Central 2 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,East 1 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,East 2 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,East 3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,West 1 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,West 2 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Western Area,Western Area Urban District,West 3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Agape Way CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Anglican Diocese Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Athel CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Batiama Layout MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Bo Government Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Bo School Bay CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Breakthrough MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Brima Town CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Dasse Advance Medical Services Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,EDC Unit CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Favour MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Gbanja Town MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Gbotima CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Genda CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Gilas Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,JC Boima Memorial Climic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Kakua Static CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Kandeh Town CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Kindoya Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Kowama (Kakua) CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Lewaibu CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Manjiama CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Mercy Ships (Bo City) Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Mid Land MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Morning Star CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Nafaya MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Needy CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,New Police Barracks CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Praise Foundation CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Red Cross (Bo City) CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Rescue Health Care Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Simbo Town CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Spllenz Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,St Monica's Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Tengbewabu MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Topkoi Town CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,UNIMUS MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Walk In Medical Associate Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,,,Bo City,Yemoh Town CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
